Team1,Team2,ML1,ML2,Winner
Boston,Milwaukee,120,-140,1
LAClippers,GoldenState,750,-1150,2
Brooklyn,Minnesota,500,-650,2
Denver,Phoenix,140,-160,1
Memphis,Utah,295,-360,1
NewYork,Atlanta,210,-250,2
OklahomaCity,Cleveland,290,-350,2
Washington,NewOrleans,-115,-105,1
Orlando,Toronto,500,-700,1
Houston,Indiana,-170,150,2
Dallas,SanAntonio,650,-1000,1
Philadelphia,Chicago,250,-300,2
GoldenState,Portland,-250,210,1
Brooklyn,Miami,310,-370,2
Orlando,Minnesota,320,-380,2
Detroit,Boston,195,-230,2
Cleveland,Dallas,-185,165,2
Memphis,Phoenix,-170,150,1
Sacramento,Philadelphia,-150,130,2
NewYork,Washington,320,-380,2
NewOrleans,Toronto,270,-330,2
Sacramento,Houston,700,-1100,2
OklahomaCity,SanAntonio,425,-550,2
Charlotte,Portland,160,-180,2
Denver,LALakers,-110,-110,2
Minnesota,Cleveland,230,-270,2
Indiana,Orlando,-150,130,1
Atlanta,Miami,110,-130,2
NewYork,Brooklyn,-150,130,1
NewOrleans,Detroit,265,-320,2
Toronto,Boston,210,-250,2
Philadelphia,Dallas,280,-340,2
Milwaukee,Utah,280,-340,2
Memphis,Denver,-170,150,1
LAClippers,Phoenix,-150,130,1
Chicago,OklahomaCity,120,-140,1
Charlotte,GoldenState,1100,-2500,2
LALakers,Washington,475,-650,2
Atlanta,Houston,425,-550,1
Philadelphia,SanAntonio,1500,-5000,2
GoldenState,LAClippers,-320,265,1
Toronto,Orlando,-210,180,2
Minnesota,Detroit,160,-180,2
Indiana,Brooklyn,-260,220,1
Memphis,OklahomaCity,-120,100,2
Chicago,Houston,400,-500,2
LALakers,Boston,525,-750,2
Milwaukee,Denver,135,-155,2
Dallas,Portland,210,-250,1
Phoenix,Sacramento,155,-175,1
Orlando,Atlanta,260,-310,2
Detroit,Indiana,130,-150,2
NewOrleans,Washington,250,-300,2
Philadelphia,Miami,375,-450,2
Cleveland,NewYork,-180,160,1
Memphis,Minnesota,165,-185,1
Denver,SanAntonio,750,-1200,2
Milwaukee,Phoenix,-125,105,1
Charlotte,Utah,310,-370,2
GoldenState,Sacramento,-2000,1000,2
Toronto,Brooklyn,-280,240,1
LAClippers,Boston,210,-250,2
Portland,OklahomaCity,185,-215,2
Cleveland,Washington,-120,100,1
